Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric",126.200000,-55.370000,90.000000,top
"C2","100n","C_0402_1005Metric",137.740000,-60.780000,180.000000,top
"C3","10u","C_0603_1608Metric",135.270000,-63.200000,180.000000,top
"C4","10u","C_0603_1608Metric",124.240000,-52.380000,0.000000,top
"C13","10uF","C_0402_1005Metric",125.010000,-61.950000,180.000000,top
"C14","100nF","C_0402_1005Metric",128.820000,-63.670000,270.000000,top
"C15","100nF","C_0402_1005Metric",125.020000,-60.750000,180.000000,top
"C16","47pF","C_0402_1005Metric",129.990000,-63.680000,270.000000,top
"C17","10uF","C_0402_1005Metric",125.035000,-59.520000,180.000000,top
"C20","8pF","C_0402_1005Metric",130.400000,-52.700000,90.000000,top
"C21","8pF","C_0402_1005Metric",126.900000,-52.760000,270.000000,top
"CX1","100pF","C_0402_1005Metric",142.190000,-56.680000,0.000000,top
"CX2","36pF","C_0402_1005Metric",140.290000,-57.280000,0.000000,top
"D2","TPD4S012DRYR","UFDFN-6_1.45x1mm",124.290000,-57.830000,90.000000,top
"F1","GD25Q16CEIGR","FLASH_2x3_USON8",138.040000,-63.030000,270.000000,top
"FI1","Fiducial","Fiducial_0.5mm_Mask1mm",122.540000,-63.880000,0.000000,top
"FI2","Fiducial","Fiducial_0.5mm_Mask1mm",141.840000,-51.680000,0.000000,top
"J2","Conn_01x04","FPC_4_0.5-THD0509-04CL-GF",141.900000,-55.390000,180.000000,top
"L1","LED_RGBA","RGB_LED_606",137.010000,-57.700000,270.000000,top
"L2","4u7H","L_0603_1608Metric",126.800000,-60.402500,90.000000,top
"N1","FM11NC08","MLPD3X3",141.890000,-58.330000,270.000000,top
"P1","USB_C_Plug","UTC009-C",115.340000,-58.530000,270.000000,top
"R1","180R","R_0402_1005Metric",136.290000,-61.170000,90.000000,top
"R2","4.7k","R_0402_1005Metric",138.790000,-55.880000,180.000000,top
"R3","4.7k","R_0402_1005Metric",134.840000,-53.365000,90.000000,top
"R4","4.7k","R_0402_1005Metric",140.490000,-64.730000,90.000000,top
"R5","4.7k","R_0402_1005Metric",134.275000,-51.630000,180.000000,top
"R6","4.7k","R_0402_1005Metric",131.390000,-64.520000,270.000000,top
"R7","4.7k","R_0402_1005Metric",133.840000,-53.070000,270.000000,top
"R8","DNP","R_0402_1005Metric",132.330000,-51.780000,0.000000,top
"R10","5.1k","R_0402_1005Metric",123.590000,-61.505000,270.000000,top
"T1","TLV742p","Texas_X2SON-4_1x1mm_P0.65mm",124.390000,-55.785000,180.000000,top
"U1","LPC55S69JEV98K","BGA98C50P13X13_700X700X97N",131.560000,-58.440000,270.000000,top
"U2","MTCH101","SOT-23-6",137.290000,-53.580000,180.000000,top
"U3","SE050","UQFN-20-1EP_3x3mm_P0.4mm_EP1.85x1.85mm",143.930000,-63.330000,270.000000,top
"Y1","XRCGB16M000FXN01R0","Crystal-2mmx1.6mm",129.310000,-53.240000,180.000000,top
"Z1","GG040205100N2P","D_0402_1005Metric",124.240000,-53.680000,0.000000,top
